"Temperature","Rho 1","Rho 2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
77.707,1,0.001,1,0.10189,0.125,0.075,0.15411
77.839,1,0.001,1,0.10214,0.125,0.075,0.15386
77.972,1,0.001,1,0.1024,0.125,0.075,0.1536
78.08,1,0.001,1,0.10266,0.125,0.075,0.15334
78.188,1,0.001,1,0.10291,0.125,0.075,0.15309
78.296,1,0.001,1,0.10317,0.125,0.075,0.15283
78.404,1,0.001,1,0.10342,0.125,0.075,0.15258
78.512,1,0.001,1,0.10368,0.125,0.075,0.15232
78.621,1,0.001,1,0.10394,0.125,0.075,0.15206
78.729,1,0.001,1,0.10419,0.125,0.075,0.15181
78.837,1,0.001,1,0.10445,0.125,0.075,0.15155
78.945,1,0.001,1,0.1047,0.125,0.075,0.1513
79.053,1,0.001,1,0.10496,0.125,0.075,0.15104
79.161,1,0.001,1,0.10522,0.125,0.075,0.15078
79.269,1,0.001,1,0.10547,0.125,0.075,0.15053
79.378,1,0.001,1,0.10573,0.125,0.075,0.15027
79.486,1,0.001,1,0.10598,0.125,0.075,0.15002
79.594,1,0.001,1,0.10624,0.125,0.075,0.14976
79.702,1,0.001,1,0.1065,0.125,0.075,0.1495
79.81,1,0.001,1,0.10675,0.125,0.075,0.14925
79.918,1,0.001,1,0.10701,0.125,0.075,0.14899
80.026,1,0.001,1,0.10726,0.125,0.075,0.14874
80.135,1,0.001,1,0.10752,0.125,0.075,0.14848
80.243,1,0.001,1,0.10778,0.125,0.075,0.14822
80.351,1,0.001,1,0.10803,0.125,0.075,0.14797
80.459,1,0.001,1,0.10829,0.125,0.075,0.14771
80.567,1,0.001,1,0.10854,0.125,0.075,0.14746
80.675,1,0.001,1,0.1088,0.125,0.075,0.1472
80.783,1,0.001,1,0.10906,0.125,0.075,0.14694
80.891,1,0.001,1,0.10931,0.125,0.075,0.14669
81,1,0.001,1,0.10957,0.125,0.075,0.14643
81.108,1,0.001,1,0.10982,0.125,0.075,0.14618
81.216,1,0.001,1,0.11008,0.125,0.075,0.14592
81.324,1,0.001,1,0.11034,0.125,0.075,0.14566
81.432,1,0.001,1,0.11059,0.125,0.075,0.14541
81.54,1,0.001,1,0.11085,0.125,0.075,0.14515
81.648,1,0.001,1,0.1111,0.125,0.075,0.1449
81.757,1,0.001,1,0.11136,0.125,0.075,0.14464
81.865,1,0.001,1,0.11162,0.125,0.075,0.14438
81.973,1,0.001,1,0.11187,0.125,0.075,0.14413
82.081,1,0.001,1,0.11213,0.125,0.075,0.14387
82.189,1,0.001,1,0.11238,0.125,0.075,0.14362
82.297,1,0.001,1,0.11264,0.125,0.075,0.14336
82.385,1,0.001,1,0.1129,0.125,0.075,0.1431
82.473,1,0.001,1,0.11315,0.125,0.075,0.14285
82.561,1,0.001,1,0.11341,0.125,0.075,0.14259
82.649,1,0.001,1,0.11366,0.125,0.075,0.14234
82.736,1,0.001,1,0.11392,0.125,0.075,0.14208
82.824,1,0.001,1,0.11418,0.125,0.075,0.14182
82.912,1,0.001,1,0.11443,0.125,0.075,0.14157
83,1,0.001,1,0.11469,0.125,0.075,0.14131
83.088,1,0.001,1,0.11494,0.125,0.075,0.14106
83.175,1,0.001,1,0.1152,0.125,0.075,0.1408
