"Kappa_Tau:0","Kappa_Tau:1","Rho 1","Rho 2","Temperature","Velocity:0","Velocity:1","Velocity:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.021678,3.6442e-05,1,0,84.095,0,0,-1,1,0.055296,0.125,0.075,0.2007
0.021678,3.6442e-05,1,0,84.232,0,0,-1,1,0.055552,0.125,0.075,0.20045
0.021678,3.6442e-05,1,0,84.368,0,0,-1,1,0.055808,0.125,0.075,0.20019
0.021678,3.6442e-05,1,0,84.505,0,0,-1,1,0.056064,0.125,0.075,0.19994
0.021678,3.6442e-05,1,0,84.642,0,0,-1,1,0.05632,0.125,0.075,0.19968
0.021678,3.6442e-05,1,0,84.779,0,0,-1,1,0.056576,0.125,0.075,0.19942
0.021678,3.6442e-05,1,0,84.915,0,0,-1,1,0.056832,0.125,0.075,0.19917
0.021678,3.6442e-05,1,1.6446e-16,85.052,1.2582e-15,0,-1,1,0.057088,0.125,0.075,0.19891
0.021678,3.6442e-05,1,0,85.189,0,0,-1,1,0.057344,0.125,0.075,0.19866
0.021678,3.6442e-05,1,0,85.325,0,0,-1,1,0.0576,0.125,0.075,0.1984
0.021678,3.6442e-05,1,0,85.462,0,0,-1,1,0.057856,0.125,0.075,0.19814
0.021678,3.6442e-05,1,0,85.599,0,0,-1,1,0.058112,0.125,0.075,0.19789
0.021678,3.6442e-05,1,0,85.736,0,0,-1,1,0.058368,0.125,0.075,0.19763
0.021678,3.6442e-05,1,0,85.872,0,0,-1,1,0.058624,0.125,0.075,0.19738
0.021678,3.6442e-05,1,0,86.009,0,0,-1,1,0.05888,0.125,0.075,0.19712
0.021678,3.6442e-05,1,0,86.146,0,0,-1,1,0.059136,0.125,0.075,0.19686
0.021678,3.6442e-05,1,0,86.282,0,0,-1,1,0.059392,0.125,0.075,0.19661
0.021678,3.6442e-05,1,0,86.419,0,0,-1,1,0.059648,0.125,0.075,0.19635
0.021678,3.6442e-05,1,-3.2893e-16,86.556,-2.5165e-15,0,-1,1,0.059904,0.125,0.075,0.1961
0.021678,3.6442e-05,1,0,86.693,0,0,-1,1,0.06016,0.125,0.075,0.19584
0.021678,3.6442e-05,1,0,86.829,0,0,-1,1,0.060416,0.125,0.075,0.19558
0.021678,3.6442e-05,1,0,86.966,0,0,-1,1,0.060672,0.125,0.075,0.19533
0.021678,3.6442e-05,1,0,87.103,0,0,-1,1,0.060928,0.125,0.075,0.19507
0.021678,3.6442e-05,1,0,87.24,0,0,-1,1,0.061184,0.125,0.075,0.19482
